microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
3644,0.453,-0.04,0.887,1.465,26.123,-0.244,-2.126,-25.851,1,3
3661,0.435,-0.909,0.01,-2.563,0.122,22.949,-89.061,-24.829,-122.272,3
3748,0.424,-0.035,0.917,1.099,18.555,0.366,-2.082,-23.868,0.758,3
3766,0.393,-0.915,0.005,-0.977,-0.793,20.081,-89.291,-22.846,-120.179,3
3857,0.373,-0.94,0.001,-1.465,-0.061,19.409,-89.495,-20.945,-118.158,3
3868,0.397,-0.029,0.944,0.549,18.066,0.122,-2.005,-22.006,0.505,3
3943,0.353,-0.017,0.977,-0.549,19.104,-0.183,-1.928,-20.198,0.198,3
3962,0.332,-0.94,0.008,-2.441,0.061,19.348,-89.665,-19.089,-116.246,3
4051,0.323,-0.043,0.999,1.16,20.508,-1.648,-1.829,-18.226,-0.247,3
4066,0.29,-0.941,-0.002,-1.282,0.671,22.522,-90,-17.1,-114.582,3
4175,0.248,-0.952,-0.003,-2.625,-0.732,25.696,-90.203,-14.76,-112.906,3
4200,0.281,-0.021,1.007,-0.122,25.391,1.038,-1.758,-15.93,-0.604,3
4276,0.231,-1.006,-0.005,-2.319,0.977,25.024,-90.472,-12.151,-111.368,3
4305,0.229,-0.014,0.977,1.282,27.527,-1.709,-1.664,-13.222,-0.978,3
4351,0.173,-0.952,-0.015,-2.136,2.136,21.851,-90.632,-9.789,-110.034,3
4365,0.193,-0.026,0.97,0.305,22.949,-2.258,-1.533,-10.844,-1.516,3
4456,0.139,-0.984,-0.029,-2.563,-1.709,20.874,-90.884,-7.69,-108.743,3
4470,0.159,-0.052,1.004,-0.427,19.775,1.709,-1.582,-8.773,-1.939,3
4562,0.114,-0.985,-0.013,-1.526,-1.953,20.508,-91.176,-5.779,-107.188,3
4620,0.114,-0.013,1.04,0.061,20.386,1.282,-1.599,-6.839,-2.082,3
4651,0.075,-0.995,-0.019,-1.892,1.77,22.217,-91.351,-3.62,-105.93,3
4756,0.028,-0.977,-0.023,-1.77,1.404,23.682,-91.538,-1.318,-104.936,3
4785,0.083,-0.028,1.032,0.427,21.484,-2.441,-1.494,-4.642,-2.483,3
4847,0.071,-1.04,-0.043,-4.456,0.854,28.687,-91.862,1.203,-103.942,3
4861,0.042,-0.036,1.017,0.244,21.912,-1.404,-1.439,-2.296,-2.988,3
4861,0.001,-0.03,0.998,0.305,22.888,-0.732,-1.472,0.214,-3.433,3
4952,-0.067,-1.008,-0.038,-2.258,0.305,26.123,-92.131,4.449,-102.909,3
4973,-0.05,-0.021,1.004,0.122,24.048,-1.221,-1.423,2.802,-3.834,3
5058,-0.116,-0.973,-0.041,-0.854,1.587,21.973,-92.313,6.916,-101.937,3
5070,-0.094,-0.029,0.977,0.854,19.226,-2.075,-1.335,5.251,-4.318,3
5149,-0.145,-0.985,-0.053,-2.136,0.366,23.438,-92.543,9.13,-101.025,3
5174,-0.129,-0.047,0.998,0,21.362,0,-1.379,7.471,-4.708,3
5267,-0.195,-0.984,-0.054,-2.93,-0.671,23.193,-92.823,11.365,-99.987,3
5294,-0.168,-0.013,1.014,-0.366,25.574,0.977,-1.406,9.728,-4.938,3
5341,-0.241,-0.969,-0.051,-1.038,1.465,28.259,-93.049,13.903,-99.064,3
5370,-0.225,-0.028,0.974,0.305,29.358,-1.404,-1.302,12.442,-5.312,3
5446,-0.275,-0.963,-0.057,-2.38,0.916,26.245,-93.351,16.611,-98.355,3
5473,-0.246,-0.019,0.948,1.709,24.231,-1.343,-1.302,15.161,-5.746,3
5536,-0.327,-0.953,-0.063,-2.991,0.977,25.757,-93.68,19.27,-97.619,3
5578,-0.297,-0.035,0.971,-0.183,20.996,-1.221,-1.368,17.798,-6.125,3
5643,-0.367,-0.939,-0.07,-1.77,0.61,27.405,-94.07,21.929,-96.91,3
5685,-0.353,-0.021,0.932,1.526,28.198,-0.366,-1.395,20.583,-6.438,3
5746,-0.399,-0.901,-0.067,-2.014,1.099,27.161,-94.373,24.62,-96.196,3
5774,-0.387,-0.027,0.923,0.183,29.236,-1.831,-1.39,23.351,-6.795,3
5837,-0.447,-0.881,-0.079,-1.526,1.099,28.259,-94.779,27.383,-95.636,3
5879,-0.44,-0.021,0.891,-0.488,29.602,0.183,-1.483,26.202,-7.147,3
5947,-0.478,-0.867,-0.069,-2.197,0.854,28.442,-95.24,30.135,-94.982,3
5985,-0.5,-0.038,0.861,2.441,31.677,-2.075,-1.489,29.092,-7.388,3
6031,-0.521,-0.854,-0.102,-2.136,2.014,27.954,-95.707,32.943,-94.554,3
6088,-0.536,-0.046,0.824,-1.343,35.4,2.014,-1.604,32.009,-7.734,3
6136,-0.569,-0.807,-0.074,-2.808,-0.427,29.297,-96.213,35.744,-93.878,3
6179,-0.596,0.031,0.761,0.061,34.424,-1.099,-1.494,35.096,-7.696,3
6243,-0.611,-0.754,-0.088,-1.831,4.089,31.738,-96.757,38.798,-93.433,3
6285,-0.637,-0.058,0.748,0.549,32.349,-2.93,-1.719,38.337,-8.212,3
6404,-0.64,-0.005,0.699,0.793,34.668,0.122,-1.868,41.677,-8.394,3
