microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
4335,0.288,0.029,0.961,2.136,44.373,-1.282,1.736,-16.068,-17.666,3
4353,0.749,-0.685,0.09,-0.732,2.686,25.085,-81.584,-45.264,-122.239,3
4499,0.216,0.032,0.972,1.526,41.504,-0.427,1.923,-11.805,-17.99,3
4544,0.172,0.038,1.035,2.502,38.574,-0.183,2.093,-8.009,-18.336,3
4546,0.686,-0.735,0.095,-0.305,1.648,20.996,-81.964,-41.484,-117.729,3
4636,0.662,-0.749,0.093,-0.244,1.343,22.705,-82.112,-39.375,-115.582,3
4651,0.094,0.051,1.021,1.953,41.748,0.671,2.313,-3.834,-18.578,3
4743,0.632,-0.793,0.096,-0.488,1.465,26.367,-82.326,-37.084,-113.516,3
4754,0.002,0.038,1.026,2.197,46.753,0.122,2.527,0.593,-18.825,3
4845,-0.088,0.042,0.973,2.075,49.438,1.77,2.769,5.554,-18.929,3
4855,0.589,-0.799,0.089,0.488,1.404,27.405,-82.408,-34.574,-111.797,3
4979,-0.195,0.047,0.97,1.099,44.678,3.418,2.939,10.201,-18.935,3
5043,0.547,-0.849,0.108,1.221,-3.052,21.606,-82.831,-30.504,-107.556,3
5063,-0.238,0.08,0.97,0.61,43.274,4.028,3.17,14.447,-18.704,3
5132,0.509,-0.857,0.113,-0.854,1.77,25.269,-82.93,-28.301,-105.601,3
5240,0.467,-0.881,0.099,-2.686,4.395,23.804,-83.057,-25.867,-104.156,3
5264,-0.298,0.093,0.971,2.625,48.828,-1.221,3.532,18.885,-18.589,3
5266,-0.393,0.061,0.886,3.357,45.715,-2.93,3.917,23.956,-18.858,3
5327,0.425,-0.899,0.077,-1.709,2.014,23.132,-83.287,-23.538,-102.964,3
5355,-0.508,0.041,0.816,1.587,47.974,-1.343,4.213,28.96,-19.166,3
5432,0.39,-0.928,0.095,-0.793,1.099,22.156,-83.513,-21.346,-101.514,3
5459,-0.531,0.077,0.807,0.732,48.645,1.831,4.543,33.695,-19.056,3
5522,0.371,-0.926,0.097,-1.343,0.244,23.987,-83.699,-19.1,-99.926,3
5604,-0.621,0.074,0.767,1.343,51.697,-2.319,4.966,38.677,-18.732,3
5627,0.332,-0.952,0.103,-2.747,1.953,27.405,-83.969,-16.65,-98.63,3
5655,-0.668,0.082,0.689,2.258,50.293,-2.563,5.433,44.011,-18.545,3
5733,0.282,-0.953,0.096,-2.075,4.456,26.489,-84.172,-14.052,-97.608,3
5760,-0.743,0.075,0.585,5.859,56.274,-2.502,6.18,49.4,-18.188,3
5823,0.223,-0.978,0.089,-1.221,6.531,24.719,-84.254,-11.53,-96.817,3
5879,-0.798,0.071,0.543,4.761,50.11,-1.099,7.284,54.492,-17.463,3
5926,0.185,-0.996,0.083,-1.221,2.991,25.94,-84.375,-9.02,-96.037,3
5985,-0.83,0.075,0.471,3.54,49.255,-0.916,8.591,59.799,-16.447,3
6031,0.145,-0.993,0.08,-2.563,2.625,25.94,-84.562,-6.46,-95.07,3
6075,-0.861,0.064,0.395,2.563,53.467,-1.282,10.195,65.012,-14.859,3
6121,0.09,-0.986,0.075,-1.282,0.793,29.419,-84.908,-3.576,-94.12,3
6164,-0.897,0.072,0.284,2.014,54.626,-1.099,13.046,70.576,-11.871,3
6230,0.048,-0.984,0.086,-0.916,0,17.334,-85.018,-1.11,-92.95,3
6285,-0.944,0.104,0.036,3.601,16.113,-1.526,17.523,75.685,-7.619,3
6318,0.041,-0.978,0.093,-0.61,2.747,-1.221,-85.084,-0.483,-92.065,3
6390,-0.924,0.059,0.244,0.854,-9.644,-2.197,17.012,75.536,-7.938,3
6423,0.043,-1,0.063,0.488,0,-0.427,-85.111,-0.786,-91.478,3
6479,-0.96,0.062,0.204,-1.526,-3.235,1.465,16.891,75.46,-7.69,3
6511,0.045,-1.003,0.082,0.427,-0.61,1.404,-85.095,-0.884,-90.692,3
6572,-0.948,0.081,0.197,0.732,3.845,0,17.364,75.641,-6.79,3
6617,0.038,-0.991,0.083,-0.549,0.854,2.136,-85.139,-0.725,-90.011,3
6675,-0.956,0.071,0.201,-1.77,-14.648,-1.892,17.078,75.712,-6.79,3
6708,0.044,-0.944,0.044,0.305,-1.038,-19.653,-85.15,-1.511,-89.374,3
6780,-0.801,0.022,0.377,-0.549,-44.189,3.784,15.134,74.031,-8.536,3
6813,0.062,-1.053,0.085,-0.916,-0.244,-1.099,-85.193,-2.642,-88.841,3
6884,-0.964,0.062,0.163,-3.357,-5.981,0.183,16.068,74.537,-7.185,3
6917,0.087,-0.937,0.088,2.014,-1.77,-11.597,-85.078,-2.829,-88.143,3
6990,-0.799,0.078,0.492,4.272,-2.869,-0.305,14.733,73.032,-8.267,3
7007,0.077,-1.023,0.064,-1.831,3.052,3.235,-85.166,-3.384,-87.775,3
7082,-0.902,0.068,0.046,-2.563,-6.714,3.784,15.672,74.312,-7.344,3
7112,0.081,-1.01,0.09,-1.709,-3.601,-16.663,-85.188,-3.779,-87.248,3
7200,-0.779,0.037,0.353,3.845,16.113,-2.441,13.749,71.834,-8.871,3
7217,0.127,-0.968,0.039,2.441,0.305,-18.677,-85.133,-4.933,-86.863,3
7290,-1.053,0.134,0.172,-11.597,-78.613,2.686,13.008,70.79,-9.794,3
7380,-0.849,0.036,0.484,-1.404,-42.969,-0.122,9.36,63.929,-13.074,3
7413,0.209,-1.031,0.069,1.16,-3.052,-21.118,-85.051,-9.761,-85.984,3
7485,-0.79,0.076,0.363,-2.991,-25.757,2.93,8.427,60.255,-13.694,3
7503,0.229,-0.97,0.087,0.061,-3.113,-23.926,-84.88,-11.448,-85.397,3
7604,-0.661,0.091,0.731,-0.122,-50.354,-2.747,7.191,54.822,-14.952,3
7608,0.261,-0.959,0.076,-1.221,1.404,-18.799,-84.913,-13.59,-85.106,3
7698,0.297,-0.975,0.097,1.648,-3.418,-21.729,-84.831,-15.485,-84.891,3
7710,-0.797,0.028,0.514,-4.333,-45.532,2.136,6.356,51.334,-15.919,3
7800,-0.69,0.09,0.728,-1.404,-44.739,-0.549,5.801,45.967,-16.463,3
7806,0.327,-0.95,0.093,0.244,0.122,-21.729,-84.71,-17.77,-84.54,3
7892,-0.596,0.055,0.681,-2.625,-46.265,2.686,5.229,41.776,-17.205,3
7907,0.372,-0.906,0.073,0.549,-3.784,-25.94,-84.655,-19.858,-84.37,3
7998,0.394,-0.914,0.087,0.244,-0.122,-14.343,-84.639,-21.698,-84.205,3
8085,-0.539,0.063,0.787,-1.648,-24.963,0.305,4.686,37.337,-17.792,3
8102,0.415,-0.929,0.101,0.183,0.122,-19.043,-84.65,-23.632,-84.172,3
8129,-0.533,0.049,0.887,-3.235,-49.805,-1.343,4.18,32.772,-18.556,3
8193,0.463,-0.901,0.081,0.183,0.183,-22.4,-84.534,-25.878,-84.15,3
8204,-0.462,0.064,0.878,-3.052,-56.03,1.77,3.823,28.114,-19.105,3
8297,0.491,-0.878,0.089,0.854,-2.319,-18.982,-84.435,-28.059,-84.062,3
8310,-0.411,0.049,0.896,-2.991,-51.025,0.427,3.455,23.242,-19.594,3
8400,-0.303,0.063,0.909,-2.197,-42.053,0.305,3.164,18.572,-20.006,3
