microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
3676,1.026,0.127,-0.166,8.423,-13,-2.136,144.822,-78.613,77.289,3
3714,0.98,0.278,-0.102,3.113,4.761,-9.521,111.05,-72.438,2.703,3
3746,1.02,0.117,-0.179,4.211,-9.338,-3.418,146.305,-77.624,76.311,3
3808,0.953,0.305,-0.097,-0.244,4.089,-10.376,108.896,-71.713,4.636,3
3840,1.005,0.113,-0.209,2.197,-10.315,-3.54,147.508,-76.663,75.146,3
3964,0.992,0.136,-0.251,-2.563,-11.841,-0.793,149.453,-75.58,72.735,3
4011,0.947,0.358,-0.094,-6.042,1.038,-14.771,104.974,-69.439,7.004,3
4027,0.995,0.125,-0.268,-3.235,-15.564,-0.366,151.87,-74.147,69.868,3
4105,0.933,0.366,-0.098,-2.38,2.441,-18.127,103.184,-67.885,7.949,3
4152,0.98,0.118,-0.26,3.845,-18.433,-2.808,154.314,-72.515,67.231,3
4199,0.899,0.391,-0.105,-4.272,0.244,-18.127,101.805,-66.165,8.707,3
4230,0.993,0.106,-0.309,3.906,-16.479,0.427,156.879,-70.988,64.495,3
4308,0.929,0.408,-0.081,2.014,1.404,-17.517,101.135,-64.435,9.19,3
4339,0.964,0.139,-0.31,4.517,-13.55,-1.343,159.208,-69.527,62.573,3
4402,0.901,0.445,-0.074,3.357,1.038,-13,100.481,-63.045,9.8,3
4433,0.963,0.129,-0.337,4.822,-12.39,2.563,160.84,-68.406,61.315,3
4511,0.899,0.463,-0.08,-2.075,-0.488,-14.038,100.118,-61.82,9.761,3
4542,0.948,0.15,-0.364,0.549,-10.315,-0.916,162.081,-67.308,59.941,3
4589,0.884,0.49,-0.076,-1.404,3.174,-13.306,99.278,-60.579,10.042,3
4652,0.945,0.122,-0.437,2.808,-14.771,-3.418,162.653,-65.912,59.321,3
4699,0.873,0.504,-0.074,-2.197,2.747,-14.648,98.069,-59.194,10.646,3
4777,0.92,0.115,-0.427,-1.526,-17.212,0,163.246,-64.385,58.502,3
4792,0.838,0.525,-0.081,-5.127,0.549,-14.526,97.103,-57.706,10.618,3
4855,0.914,0.119,-0.435,3.052,-14.404,-1.404,163.987,-62.985,57.376,3
4902,0.839,0.552,-0.069,-1.099,0.793,-13.306,96.575,-56.376,10.497,3
4949,0.909,0.118,-0.479,4.028,-15.442,2.014,164.916,-61.76,56.354,3
4995,0.836,0.562,-0.061,4.333,1.709,-15.93,96.367,-54.998,10.256,3
5042,0.899,0.119,-0.491,7.141,-14.893,0.854,166.278,-60.37,55.3,3
5105,0.814,0.585,-0.062,2.38,0.732,-16.541,96.312,-53.427,10.162,3
5152,0.876,0.127,-0.493,7.019,-15.564,2.258,167.602,-58.865,54.25,3
5199,0.798,0.614,-0.069,0,0.732,-14.404,96.152,-51.817,9.937,3
5292,0.79,0.652,-0.06,1.038,5.615,-16.541,95.68,-50.416,10.025,3
5292,0.889,0.125,-0.562,3.906,-13.184,-3.54,168.338,-57.513,53.602,3
5370,0.833,0.119,-0.533,-0.122,-10.925,-2.563,168.459,-56.096,53.58,3
5386,0.772,0.635,-0.047,-5.188,1.404,-10.193,94.856,-49.257,10.031,3
5464,0.837,0.11,-0.577,-0.122,-11.292,2.502,168.646,-54.981,52.828,3
5480,0.744,0.657,-0.058,0.183,0.671,-12.329,94.515,-48.12,9.454,3
5589,0.756,0.65,-0.066,1.343,-0.61,-0.854,94.493,-47.681,8.915,3
5589,0.835,0.102,-0.574,-0.671,-3.906,-1.892,169.069,-54.25,52.344,3
5698,0.696,0.663,-0.076,4.578,-1.038,9.094,95.004,-47.911,8.119,3
5714,0.83,0.08,-0.546,4.028,2.808,2.197,169.332,-54.393,51.998,3
5761,0.84,0.107,-0.543,-4.272,18.738,7.751,169.618,-55.904,51.465,3
5776,0.808,0.616,-0.08,3.113,-6.287,16.968,96.114,-49.466,6.493,3
5886,0.802,0.626,-0.038,5.92,2.075,15.991,97.037,-50.993,5.641,3
5901,0.855,0.147,-0.518,2.441,18.86,-0.305,169.673,-57.579,51.251,3
5995,0.835,0.588,-0.104,-1.465,-3.54,21.667,97.493,-53.097,4.911,3
6011,0.896,0.094,-0.484,-1.221,16.724,1.099,168.53,-59.496,52.289,3
6089,0.878,0.132,-0.509,-4.395,18.188,-3.54,167.531,-61.221,52.773,3
6089,0.797,0.595,-0.095,0.793,1.404,18.494,97.855,-54.8,4.147,3
6198,0.818,0.553,-0.083,-0.122,0.854,11.78,98.097,-56.492,3.483,3
6245,0.928,0.096,-0.523,-6.836,15.381,-2.075,165.998,-62.82,53.784,3
6292,0.817,0.558,-0.099,0,-0.427,14.771,98.492,-57.799,2.845,3
6292,0.908,0.096,-0.448,-1.16,13.245,3.052,165.141,-64.006,54.36,3
6386,0.869,0.502,-0.082,3.784,0.366,7.019,99.047,-58.986,2.208,3
6433,0.944,0.104,-0.472,-0.305,10.315,-0.366,164.279,-65.215,54.833,3
6464,0.873,0.504,-0.085,6.348,-1.648,11.475,99.871,-59.963,1.719,3
6495,0.94,0.103,-0.38,3.967,11.475,0.732,163.96,-66.182,55.415,3
6573,0.978,0.123,-0.363,0,14.771,4.272,163.911,-67.538,55.706,3
6589,0.912,0.489,-0.089,4.272,-3.967,13.977,101.288,-61.117,0.703,3
6683,0.901,0.438,-0.095,2.075,0.61,17.639,102.508,-62.803,-0.489,3
6714,0.953,0.141,-0.34,-1.892,17.7,0,162.751,-69.258,56.646,3
6792,0.886,0.426,-0.109,2.136,2.197,15.503,103.112,-64.446,-0.775,3
