microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
3449,0.909,-0.461,-0.011,1.587,3.296,35.461,-89.418,-61.968,-153.056,3
3537,0.969,-0.053,0.381,2.014,35.522,-0.305,-7.998,-68.599,-4.268,3
3568,0.88,-0.511,0,1.038,2.319,40.588,-88.841,-58.332,-150.276,3
3626,0.937,-0.038,0.411,2.869,41.565,-1.282,-6.432,-64.786,-6.015,3
3676,0.841,-0.563,0.006,1.038,3.662,41.809,-88.369,-54.278,-147.475,3
3745,0.906,-0.035,0.477,0.916,34.973,-0.854,-5.186,-61.013,-7.366,3
3751,0.809,-0.614,0.012,-0.061,3.357,40.222,-87.984,-50.361,-144.712,3
3851,0.88,-0.058,0.543,1.526,34.912,-2.625,-4.164,-57.579,-8.652,3
3869,0.761,-0.667,0.005,0.732,4.211,39.978,-87.594,-46.533,-142.119,3
3956,0.843,-0.028,0.586,3.784,37.231,0.366,-3.417,-53.915,-9.536,3
3957,0.717,-0.717,0.026,1.526,1.526,40.527,-87.336,-42.649,-139.274,3
4033,0.795,-0.013,0.617,2.441,41.809,-2.258,-2.675,-50.059,-10.36,3
4050,0.66,-0.754,0.033,0.427,4.272,40.955,-87.045,-38.562,-136.566,3
4151,0.757,-0.045,0.711,1.892,39.917,-1.282,-2.115,-46.351,-11.245,3
4153,0.602,-0.805,0.029,1.038,3.235,41.26,-86.858,-34.607,-134.088,3
4244,0.538,-0.837,0.048,0.61,3.662,41.748,-86.726,-30.531,-131.506,3
4270,0.703,0,0.735,2.686,41.565,-1.526,-1.686,-42.418,-11.854,3
4346,0.651,-0.013,0.778,1.587,35.522,-3.54,-1.192,-38.699,-12.645,3
4348,0.484,-0.874,0.044,0.61,5.005,37.537,-86.567,-26.719,-129.221,3
4454,0.428,-0.913,0.034,1.526,2.686,40.1,-86.457,-22.989,-126.98,3
4475,0.621,-0.036,0.854,2.319,37.781,-0.671,-0.901,-35.2,-13.365,3
4586,0.564,0.01,0.896,2.319,38.635,-0.122,-0.632,-31.465,-13.799,3
4645,0.493,-0.003,0.905,1.587,40.649,-1.465,-0.291,-27.493,-14.403,3
4648,0.292,-0.958,0.046,1.038,4.089,42.297,-86.276,-14.958,-122.448,3
4739,0.215,-0.974,0.056,0.977,3.906,39.551,-86.193,-11.019,-120.46,3
4751,0.419,0.001,0.918,1.953,36.56,-2.014,-0.027,-23.632,-15.013,3
4843,0.157,-0.993,0.061,2.258,3.906,42.603,-86.028,-7.103,-118.559,3
4856,0.382,0.002,0.987,3.662,37.598,-2.319,0.341,-19.946,-15.645,3
4950,0.106,-0.99,0.057,-0.183,4.211,35.583,-85.941,-3.186,-116.708,3
5036,0.268,0.016,0.838,1.465,34.851,-2.441,0.621,-15.892,-16.177,3
5144,0.055,-0.988,0.049,0.61,-0.854,-7.202,-86.034,-1.939,-113.45,3
5201,0.192,0.009,0.808,-1.282,3.845,-1.221,0.648,-14.299,-16.842,3
5202,0.267,-0.015,0.966,0.732,-9.399,1.404,0.56,-15.15,-17.303,3
5233,0.079,-1.004,0.048,1.892,-5.127,-6.775,-85.957,-2.785,-111.566,3
5260,0.285,0.003,1.01,1.709,-9.705,5.92,0.555,-16.024,-17.309,3
5338,0.102,-1.018,0.08,-0.488,-3.601,2.319,-85.924,-3.186,-109.539,3
5410,0.319,0.065,1.007,-0.244,5.188,2.319,0.582,-16.348,-17.095,3
5455,0.291,0.049,0.98,-2.319,6.836,-5.188,0.687,-15.837,-17.474,3
5458,0.099,-1,0.081,-1.465,4.272,6.409,-85.93,-2.807,-108.089,3
5549,0.069,-0.987,0.049,-1.099,6.348,2.808,-86.006,-2.329,-107.353,3
5590,0.257,-0.036,0.967,-1.831,-0.854,-4.089,0.643,-15.353,-18.408,3
5639,0.057,-0.984,0.038,0.61,-1.709,-0.549,-86.111,-2.258,-106.337,3
5710,0.25,-0.011,0.939,0.122,-3.967,3.784,0.5,-15.326,-18.781,3
5728,0.066,-0.992,0.07,1.282,-3.113,-4.456,-86.083,-2.653,-104.837,3
5815,0.267,0.033,0.953,1.038,-5.493,2.441,0.56,-15.82,-18.721,3
5833,0.08,-1.003,0.063,0.366,-1.465,-5.127,-86.028,-3.329,-103.508,3
5861,0.306,0.013,1.006,0.854,-4.211,1.221,0.593,-16.551,-18.792,3
5940,0.076,-1.002,0.079,-0.61,-0.916,7.996,-85.979,-3.56,-102.332,3
