microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
4463,0.976,0.119,-0.258,-6.287,-9.827,0.061,162.466,-70.73,77.234,2
4533,0.956,-0.045,0.162,-6.287,2.686,-4.272,-0.33,-78.091,144.717,2
4551,0.952,0.119,-0.334,5.005,-4.639,-2.502,162.076,-70.252,76.816,2
4623,0.983,-0.026,0.183,1.282,1.343,-6.897,1.752,-77.86,142.262,2
4641,0.969,0.116,-0.352,-0.183,-7.629,-0.061,161.938,-69.598,76.36,2
4728,0.965,0.032,0.206,-1.404,1.648,-9.949,5.707,-77.574,138.005,2
4747,0.948,0.102,-0.367,0.549,-12.756,-0.061,162.592,-68.604,75.416,2
4834,0.965,0.016,0.187,-11.047,2.808,-10.376,10.19,-77.135,132.819,2
4852,0.938,0.098,-0.366,-2.136,-10.925,-0.671,163.169,-67.451,74.377,2
4935,0.942,0.116,-0.374,-6.836,-12.024,-1.648,162.889,-66.473,73.817,2
5027,0.956,0.036,0.23,-7.263,4.822,-8.179,15.496,-75.8,125.667,2
5041,0.934,0.118,-0.374,-8.484,-9.338,-0.183,162.482,-65.671,73.361,2
5118,0.976,0.033,0.232,-14.771,2.93,-6.836,16.87,-75.333,123.162,2
5161,0.924,0.074,-0.38,-10.925,-6.714,3.906,162.307,-65.149,72.378,2
5223,0.977,0.061,0.225,-5.188,-3.235,-5.31,17.825,-75.24,121.108,2
5266,0.931,0.106,-0.34,-1.343,-2.808,6.348,162.872,-64.995,71.01,2
5313,1.07,0.088,0.249,1.038,-8.179,7.446,17.666,-75.916,120.773,2
5340,1.023,0.168,-0.371,-8.24,19.348,8.911,163.334,-66.149,70.444,2
5418,0.979,0.021,0.218,1.77,-8.118,16.052,12.469,-77.042,125.788,2
5453,0.952,0.118,-0.359,7.263,21.973,1.465,162.724,-68.857,71.241,2
5538,1.007,0.083,0.265,5.31,-1.404,13.306,7.185,-77.756,132.177,2
5562,0.955,0.122,-0.398,7.019,14.893,-2.686,161.466,-70.291,73.531,2
5628,0.958,-0.007,0.177,22.705,-5.249,5.859,4.191,-78.19,136.522,2
5671,0.996,0.177,-0.408,20.996,5.127,-4.822,162.23,-70.609,75.185,2
5733,0.989,-0.021,0.173,11.23,-0.854,-2.258,5.389,-78.376,136.192,2
5750,0.962,0.081,-0.402,-4.15,-11.719,1.77,162.757,-70.274,74.866,2
5808,0.971,0.05,0.202,12.817,1.099,-11.108,9.058,-78.3,132.693,2
5865,0.948,0.095,-0.348,0.488,-11.353,-0.793,164.086,-68.884,73.696,2
5912,0.971,0.076,0.223,5.066,3.479,-7.874,13.535,-77.827,128.09,2
5955,0.968,0.123,-0.266,4.028,-5.432,-4.456,164.064,-68.132,74.158,2
6004,1.005,0.058,0.219,0.916,1.221,4.028,13.771,-77.547,128.172,2
6076,0.945,0.081,-0.314,9.705,8.423,-3.967,163.141,-68.467,75.608,2
6108,1.048,0.108,0.226,15.381,-2.747,8.484,11.558,-77.728,131.199,2
6150,0.919,0.106,-0.374,-0.427,9.644,2.197,162.724,-69.412,76.91,2
6213,0.999,0.087,0.225,3.418,-2.136,5.249,8.553,-77.959,134.022,2
6270,0.933,0.128,-0.402,-7.874,2.441,4.517,162.603,-69.928,76.701,2
6361,0.973,0.181,-0.364,-19.531,-10.01,4.395,163.202,-69.335,75.399,2
6408,1.006,0.153,0.265,-31.494,6.958,-4.333,9.701,-77.717,130.754,2
6466,0.973,0.003,-0.356,-25.391,-2.747,5.493,161.197,-69.175,73.806,2
6498,0.961,-0.053,0.159,3.967,0.427,-9.216,8.69,-77.327,129.254,2
6570,1.004,0.128,-0.402,-13.977,-8.24,4.028,162.158,-68.412,72.328,2
6603,1.008,0.139,0.259,-33.081,6.042,-7.507,11.475,-76.882,124.926,2
6662,0.97,0.017,-0.415,-18.677,-8.911,5.127,160.631,-68.055,69.521,2
6708,0.967,-0.011,0.202,21.973,-2.808,-15.259,12.184,-76.465,121.959,2
6765,0.964,0.134,-0.435,-17.334,-17.273,6.287,162.922,-66.682,67.522,2
6901,0.955,0.197,-0.428,-6.714,-19.836,-2.197,164.449,-64.671,66.456,2
6917,0.976,0.031,0.217,1.953,4.395,-15.259,22.681,-75.125,111.165,2
6960,0.954,0.129,-0.412,-20.508,-20.325,0.61,164.96,-62.891,66.116,2
7067,0.901,0.123,-0.463,-6.714,-15.381,-0.61,164.713,-61.479,65.671,2
7100,0.985,0.203,0.257,-6.653,6.348,-12.573,28.163,-72.938,104.337,2
7186,0.894,0.114,-0.498,-0.366,-12.329,-0.061,164.987,-60.172,65.22,2
7202,0.984,0.14,0.297,-2.136,5.615,-14.893,30.948,-71.851,100.937,2
7290,0.895,0.151,-0.433,-14.893,-19.409,-3.845,164.355,-58.629,65.094,2
7298,1.008,0.201,0.306,0.61,7.507,-12.939,32.201,-70.532,98.635,2
7366,0.829,0.091,-0.428,-7.507,-10.864,-3.235,163.493,-57.733,65.143,2
7398,1.051,0.223,0.315,1.038,6.531,-9.949,32.377,-69.373,97.086,2
7485,0.814,0.142,-0.452,-10.437,-12.146,-1.099,163.559,-56.761,64.803,2
7499,0.951,0.156,0.289,11.78,-0.854,-10.986,33.668,-68.538,95.059,2
7591,0.883,0.146,-0.492,-12.573,-7.935,2.563,164.191,-56.036,64.193,2
7604,0.971,0.165,0.275,3.113,-3.601,-4.639,35.272,-68.176,92.895,2
7681,0.908,0.146,-0.552,-14.099,-2.075,3.784,164.767,-56.091,63.682,2
7693,0.956,0.193,0.308,6.592,-1.099,-2.319,36.019,-68.209,91.807,2
7770,0.817,0.174,-0.606,8.789,-5.005,-4.089,164.751,-55.712,64.122,2
7794,0.925,0.217,0.32,-1.099,7.202,-5.92,36.53,-67.648,90.917,2
7877,0.829,0.238,-0.605,-5.615,-8.179,-5.127,164.119,-54.569,64.759,2
7889,0.932,0.319,0.34,-7.08,11.108,-8.728,36.76,-66.517,89.731,2
7982,0.92,0.23,0.328,4.028,9.033,-8.911,36.123,-65.336,89.423,2
7995,0.833,0.204,-0.575,-1.343,-9.644,-7.446,162.949,-53.531,65.391,2
8088,0.934,0.311,0.386,2.991,7.263,-8.362,35.942,-64.281,88.654,2
8105,0.828,0.23,-0.558,-3.174,-9.338,-3.54,162.361,-52.641,65.814,2
8191,0.784,0.264,-0.581,-7.629,-6.836,-1.099,162.109,-51.828,65.885,2
8281,0.783,0.235,-0.574,-19.531,-12.451,1.953,162.383,-50.823,65.599,2
8295,0.9,0.328,0.398,-18.005,4.7,-8.057,37.255,-62.562,85.073,2
8373,0.89,0.39,0.399,-28.503,10.132,-6.348,38.732,-61.705,82.683,2
8476,0.789,0.339,-0.572,-35.217,-12.207,0.122,162.993,-49.686,65.451,2
8491,0.918,0.368,0.413,3.54,6.348,-6.592,38.782,-60.82,81.859,2
8509,0.812,0.271,-0.637,-11.047,-9.583,-4.7,162.691,-48.702,65.649,2
8568,0.891,0.337,0.399,22.522,2.075,-8.118,40.21,-60.084,80.81,2
8580,0.756,0.258,-0.618,13.794,-12.207,-6.348,163.658,-47.51,66.116,2
8674,0.853,0.331,0.387,13,5.615,-9.277,42.028,-59.211,79.294,2
8775,0.732,0.19,-0.625,5.005,-13.367,-6.042,164.515,-46.208,66.632,2
8789,0.863,0.356,0.386,0.366,2.258,-2.563,41.435,-58.749,77.871,2
8806,0.714,0.19,-0.667,14.648,3.357,3.906,163.564,-46.044,66.324,2
8895,0.717,0.251,-0.699,23.682,3.723,-0.122,163.932,-46.373,66.407,2
8974,0.923,0.415,0.453,8.85,0.061,3.113,42.215,-59.343,76.377,2
8989,0.733,0.167,-0.656,10.132,11.536,3.784,164.097,-46.791,66.973,2
9064,0.878,0.358,0.391,13.306,-8.972,9.583,42.649,-60.48,75.921,2
9098,0.743,0.135,-0.61,22.766,15.93,2.93,165.322,-48.214,67.209,2
9168,0.864,0.282,0.342,6.226,-8.362,12.634,43.319,-61.979,75.394,2
9207,0.775,0.206,-0.697,12.024,12.329,0.488,166.454,-49.927,67.522,2
9273,0.881,0.369,0.342,4.15,0.671,1.404,44.291,-62.77,74.603,2
9330,0.759,0.164,-0.759,-0.427,-5.554,-3.906,167.091,-49.763,67.692,2
9392,0.75,0.142,-0.695,0.916,-13.733,-6.47,167.223,-48.115,67.588,2
9468,0.851,0.333,0.309,-13,6.042,-6.409,45.027,-61.172,71.257,2
9510,0.768,0.089,-0.632,-0.61,-5.127,-1.404,166.597,-47.538,67.473,2
9558,0.83,0.353,0.316,-6.226,3.479,-3.906,45.176,-60.743,70.329,2
9646,0.763,0.196,-0.771,5.493,-5.554,-1.465,167.02,-47.082,67.401,2
9674,0.828,0.286,0.295,1.099,2.93,-6.348,45.637,-60.216,69.219,2
9736,0.725,0.192,-0.729,-31.799,-11.23,2.258,166.827,-45.989,67.56,2
9759,0.848,0.328,0.326,10.803,2.319,-11.292,45.308,-59.139,67.709,2
9795,0.714,0.125,-0.744,-20.02,-12.695,2.075,166.097,-44.764,67.324,2
9858,0.838,0.416,0.392,7.446,3.052,-11.475,45.198,-57.936,65.918,2
9916,0.711,0.052,-0.659,-19.592,-14.832,-1.648,165.597,-43.616,67.418,2
9963,0.815,0.396,0.427,9.521,6.714,-9.338,44.885,-56.816,65.264,2
10005,0.679,0.055,-0.721,-5.493,-8.118,-3.662,164.993,-42.605,67.665,2
10159,0.853,0.441,0.45,-8.85,7.263,-3.723,44.203,-55.223,62.996,2
10201,0.677,0.126,-0.752,10.01,-5.005,-4.089,164.493,-41.776,67.731,2
10210,0.66,0.179,-0.782,15.137,-8.484,-5.737,164.498,-41.061,67.868,2
10248,0.849,0.485,0.457,-9.766,8.118,-5.737,44.269,-54.47,61.93,2
10336,0.643,0.24,-0.783,15.137,-4.7,-6.104,164.355,-40.117,68.148,2
10352,0.808,0.394,0.416,-9.949,7.874,-5.493,44.116,-53.503,60.798,2
10441,0.646,0.222,-0.761,12.207,-8.24,-4.456,164.103,-39.166,68.39,2
10469,0.785,0.353,0.377,-8.789,6.531,-2.808,44.006,-52.657,59.453,2
10592,0.676,0.259,-0.705,-5.676,-3.662,-0.122,163.867,-38.71,68.741,2
10654,0.794,0.467,0.465,13.977,-3.235,-1.648,44.346,-52.443,57.14,2
10670,0.634,0.1,-0.791,-9.766,0.488,1.892,163.729,-38.782,68.758,2
10741,0.627,0.171,-0.757,3.723,-7.324,-0.549,164.048,-38.573,68.676,2
10754,0.808,0.477,0.473,11.23,0.244,-3.601,44.676,-52.262,55.096,2
10848,0.782,0.458,0.508,13.428,-1.343,-4.7,45.939,-51.877,52.888,2
10935,0.607,0.125,-0.749,23.315,-1.526,-7.507,164.773,-37.914,68.643,2
10959,0.625,0.274,-0.812,27.649,0.977,-5.188,165.471,-37.392,68.862,2
10959,0.84,0.515,0.506,-7.813,4.395,1.465,46.313,-51.669,50.696,2
11010,0.622,0.3,-0.749,1.038,2.38,-0.671,165.58,-37.518,69.153,2
11044,0.829,0.437,0.417,-0.977,0.061,2.747,46.285,-51.894,49.57,2
11146,0.665,0.21,-0.755,-13.855,5.127,2.869,165.712,-37.892,69.291,2
11161,0.77,0.364,0.397,1.099,-2.502,3.723,46.516,-52.322,48.56,2
11221,0.61,0.109,-0.776,5.188,5.188,-0.61,166.075,-38.419,69.373,2
11343,0.818,0.5,0.4,-7.385,-3.601,8.606,47.285,-53.536,46.818,2
11434,0.78,0.313,0.332,-4.761,-7.813,11.169,47.609,-54.717,46.06,2
11490,0.65,0.161,-0.743,8.545,5.615,1.587,166.679,-38.963,69.51,2
