microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
4138,0.638,-0.017,0.815,1.343,26.733,-0.549,-1.176,-37.59,-13.03,3
4168,0.999,-0.076,0.053,0.366,0.854,2.38,-57.453,-83.622,139.735,3
4256,0.586,-0.005,0.812,0.854,29.236,-0.427,-0.961,-34.596,-13.497,3
4276,1,-0.078,0.048,-0.488,-0.061,0.549,-66.033,-83.254,143.767,3
4345,0.542,-0.013,0.864,1.465,27.466,-0.793,-0.747,-31.943,-13.969,3
4379,0.992,-0.068,0.034,-0.061,-1.526,-1.404,-66.967,-83.408,140.427,3
4450,0.502,-0.01,0.918,2.319,34.729,0.366,-0.544,-29.064,-14.398,3
4542,0.446,0.005,0.928,0.183,29.663,-1.343,-0.374,-25.884,-14.755,3
4574,1,-0.085,0.041,-1.16,-0.122,2.869,-68.329,-83.43,133.264,3
4662,0.394,-0.008,0.913,1.16,27.771,-0.977,-0.225,-22.928,-15.255,3
4669,1.005,-0.082,0.035,0,1.587,-0.977,-69.291,-83.425,129.913,3
4780,0.362,0.003,0.963,2.563,27.1,0.305,-0.06,-20.347,-15.628,3
4788,1.009,-0.086,0.04,0.916,2.563,-1.282,-67.791,-83.573,124.195,3
4857,0.34,0.011,0.988,1.038,24.78,-0.366,0.11,-17.847,-15.969,3
4859,1.007,-0.08,0.041,-0.366,-0.061,0.732,-68.022,-83.628,120.064,3
4946,0.271,0.011,0.982,1.282,29.541,-0.854,0.247,-15.128,-16.375,3
4979,1.012,-0.084,0.04,-0.793,0.061,2.563,-68.95,-83.568,116.686,3
5052,0.212,0.004,1,1.648,29.175,-0.61,0.357,-12.365,-16.765,3
5055,1.002,-0.089,0.044,-0.061,1.831,1.587,-69.208,-83.43,112.83,3
5157,0.152,0.024,0.926,-0.671,7.507,-1.221,0.478,-10.261,-17.106,3
5166,1.015,-0.096,0.042,-1.099,-1.282,2.38,-70.576,-83.298,109.984,3
5262,0.184,-0.011,0.987,0.549,-3.296,0,0.445,-10.349,-17.567,3
5272,0.996,-0.087,0.033,0.549,0.793,-2.197,-70.867,-83.375,106.359,3
5355,1.009,-0.08,0.045,1.892,0.793,-2.625,-69.17,-83.699,101.168,3
5368,0.189,0.023,1.011,0.854,-4.578,2.136,0.489,-10.794,-17.666,3
5456,0.192,0.026,1.007,0.061,-0.366,-0.061,0.544,-10.97,-17.842,3
5461,1.008,-0.077,0.05,-0.366,0.488,0.488,-68.324,-83.859,96.779,3
5561,0.2,0.007,0.996,-0.549,-0.916,-1.221,0.538,-10.981,-18.193,3
5570,1.003,-0.072,0.037,-1.343,0.122,0.549,-68.544,-83.892,93.609,3
5667,0.195,0.015,0.991,0,0.366,1.282,0.489,-10.942,-18.424,3
5756,0.193,0.021,0.977,-0.366,-1.892,-1.404,0.505,-10.986,-18.638,3
5764,1.003,-0.073,0.042,-1.404,0.488,-1.221,-68.934,-83.925,88.022,3
5849,1.01,-0.08,0.034,0.61,-0.122,0.366,-68.692,-84.056,84.99,3
5864,0.194,0.012,0.995,-0.183,0.427,1.404,0.45,-11.135,-18.864,3
5953,1.005,-0.075,0.047,-0.061,0.122,0.916,-68.692,-84.056,82.375,3
5966,0.192,0.019,1,-0.916,0.549,-0.366,0.45,-11.135,-18.995,3
6044,1.004,-0.069,0.036,-0.916,0.366,0.427,-68.934,-84.051,80.063,3
6073,0.194,-0.001,0.992,-0.366,-1.038,-0.366,0.434,-11.113,-19.232,3
6149,1.007,-0.071,0.04,0.977,1.099,0.61,-68.615,-84.078,77.838,3
6176,0.191,0.027,0.974,0.671,-1.16,0.488,0.434,-11.217,-19.336,3
6240,1.012,-0.062,0.038,-1.526,-3.052,0.854,-69.225,-83.925,76.943,3
6281,0.179,-0.002,0.907,-3.601,-41.687,0.061,0.297,-13.173,-19.578,3
