microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
6179,0.366,0.257,0.916,1.038,-2.441,2.686,16.677,-21.736,-101.992,2
6213,0.795,-0.613,-0.09,2.625,-2.258,-1.16,-95.933,-51.229,-103.848,2
6269,0.358,0.25,0.851,0.305,-7.996,4.761,17.051,-22.203,-101.832,2
6317,0.759,-0.583,-0.066,-0.977,-4.456,-4.517,-96.432,-51.449,-103.293,2
6374,0.443,0.292,0.87,-9.766,-11.475,8.484,16.089,-23.752,-101.305,2
6407,0.797,-0.556,-0.05,-11.292,-2.319,-12.695,-97.581,-52.355,-102.733,2
6479,0.397,0.268,0.986,0.061,11.902,1.465,15.15,-23.544,-100.887,2
6512,0.802,-0.684,-0.085,4.272,-6.348,-3.784,-98.481,-52.712,-102.233,2
6568,0.356,0.292,0.908,12.817,11.23,0.732,15.491,-21.973,-100.261,2
6618,0.796,-0.608,-0.109,9.155,-3.113,0.671,-98.157,-52.537,-101.684,2
6674,0.493,0.302,1.006,4.15,-7.202,-1.526,16.364,-21.088,-100.036,2
6708,0.816,-0.456,-0.082,-7.751,2.136,5.615,-97.85,-52.289,-101.893,2
6779,0.351,0.313,0.912,-0.488,14.709,-0.183,17.007,-20.341,-100.173,2
6812,0.792,-0.687,-0.169,-4.089,-1.953,4.822,-98.036,-51.987,-102.513,2
6868,0.307,0.271,0.893,6.653,15.747,-1.282,16.501,-19.16,-100.025,2
6901,0.79,-0.632,-0.111,3.662,-3.723,3.235,-98.322,-51.608,-102.195,2
6989,0.33,0.278,0.907,3.601,19.104,-0.549,16.622,-17.82,-99.673,2
7022,0.793,-0.652,-0.155,-4.7,-4.211,2.625,-98.888,-51.284,-101.607,2
7094,0.271,0.363,0.885,9.155,25.94,1.648,18.089,-16.117,-99.256,2
7108,0.792,-0.722,-0.112,3.906,-7.751,3.54,-100.129,-50.922,-100.481,2
7184,0.307,0.384,0.944,-4.822,19.836,-1.709,18.314,-14.365,-98.141,2
7211,0.812,-0.64,-0.094,-1.648,-3.784,4.028,-100.525,-50.521,-99.646,2
7304,0.231,0.354,0.908,2.625,28.076,-4.15,18.468,-12.107,-97.416,2
7352,0.78,-0.715,-0.133,3.723,-1.77,6.104,-100.503,-50.109,-99.553,2
7383,0.217,0.309,0.895,1.221,20.081,-2.686,18.561,-10.113,-96.976,2
7397,0.766,-0.614,-0.136,6.958,-3.235,4.333,-100.272,-49.466,-99.564,2
