microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
1686,1.003,0.08,-0.081,0,0,0,134.995,-83.469,-19.858,3
1698,1.006,-0.01,-0.22,0,0.244,0.061,-177.242,-77.651,-125.019,3
1775,1.004,0.083,-0.082,0,0,0,135.005,-83.469,-19.869,3
1790,1.006,-0.009,-0.221,0,-0.061,0.122,-177.253,-77.651,-125.002,3
1881,1.002,0.079,-0.082,0,0,0,135.027,-83.469,-19.891,3
1924,1.006,-0.008,-0.22,0,0.061,0.122,-177.253,-77.651,-125.008,3
1986,1.004,0.082,-0.083,0,0,0,135.033,-83.469,-19.891,3
2004,1.007,-0.006,-0.221,0,0,-0.122,-177.259,-77.646,-125.019,3
2103,1.007,-0.007,-0.221,0,0.183,0,-177.259,-77.657,-125.019,3
2182,1.004,0.083,-0.083,0,0,0,135.049,-83.474,-19.907,3
2239,1.007,-0.01,-0.22,0,-0.061,-0.244,-177.281,-77.651,-125.008,3
2271,1.003,0.079,-0.081,0,0,0,135.049,-83.474,-19.907,3
2314,1.006,-0.012,-0.222,0,0.366,-0.244,-177.281,-77.662,-125.013,3
2376,1.003,0.082,-0.083,0,0,0,135.055,-83.474,-19.913,3
2409,1.007,-0.012,-0.22,-0.061,-0.122,-0.061,-177.259,-77.657,-125.041,3
2465,1.004,0.08,-0.082,0,0,0,135.055,-83.474,-19.907,3
2524,1.005,-0.014,-0.222,-0.061,0.122,0,-177.259,-77.662,-125.046,3
2571,1.003,0.081,-0.082,0,0,0,135.06,-83.474,-19.907,3
2606,0.988,-0.02,-0.113,-0.916,0.549,0.061,-177.292,-77.684,-125.074,3
2676,0.985,0.077,-0.069,0.244,-2.808,-29.663,127.837,-82.222,-12.667,3
2711,1.03,-0.007,-0.187,4.517,44.983,5.31,-174.474,-80.409,-127.98,3
2809,1.068,-0.051,-0.043,2.563,34.058,3.845,-169.332,-83.414,-133.088,3
2871,0.988,0.246,-0.099,-0.854,-3.479,-41.626,111.984,-75.553,2.516,3
2914,1.049,-0.037,-0.044,2.319,37.109,3.296,-145.459,-87.034,-156.907,3
2961,0.965,0.308,-0.103,-1.526,-3.479,-42.542,108.237,-71.532,5.724,3
3019,1.042,-0.037,0.015,2.38,36.255,3.357,-55.497,-87.44,113.187,3
3066,0.944,0.344,-0.101,-1.77,-3.845,-42.603,105.738,-67.374,7.564,3
3108,1.026,-0.03,0.046,1.526,28.015,2.136,-27.147,-84.738,84.886,3
