microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
2213,0.719,0.101,0.707,-6.958,21.912,-8.24,6.932,-43.671,-10.344,3
2304,0.687,0.058,0.771,-7.629,19.287,-7.08,6.625,-41.671,-11.31,3
2311,0.692,-0.722,0.071,-8.789,5.859,23.743,-83.721,-43.253,-37.908,3
2382,0.671,-0.754,0.084,-7.568,4.822,23.865,-84.287,-40.842,-40.825,3
2393,0.666,0.088,0.784,-5.859,21.851,-6.592,6.378,-39.298,-12.2,3
2485,0.625,0.102,0.837,-9.827,20.691,-9.338,6.037,-37.299,-13.134,3
2502,0.623,-0.779,0.073,-11.902,6.775,22.644,-84.952,-38.595,-43.654,3
2591,0.602,-0.796,0.077,-12.939,9.277,24.963,-85.589,-36.145,-46.522,3
2618,0.595,0.123,0.833,-10.986,25.757,-12.512,5.713,-34.898,-14.249,3
2682,0.558,-0.822,0.045,-8.362,10.62,24.048,-86.006,-33.668,-49.647,3
2724,0.573,0.061,0.856,-5.859,23.56,-13.306,5.636,-32.487,-15.672,3
2801,0.527,-0.853,0.045,-7.202,7.08,20.386,-86.331,-31.443,-52.46,3
2843,0.516,0.063,0.867,-5.615,19.592,-9.094,5.482,-30.328,-16.793,3
2889,0.509,0.04,0.901,-0.244,14.771,-3.357,5.301,-28.542,-17.452,3
2891,0.513,-0.857,0.023,-2.075,0.854,18.616,-86.699,-29.531,-54.679,3
2984,0.482,-0.886,0.045,0.244,-1.709,19.592,-86.94,-27.625,-56.217,3
3013,0.476,0.108,0.914,0.122,18.738,-0.61,5.24,-26.68,-17.54,3
3086,0.432,-0.916,0.059,0.122,0.854,23.071,-86.984,-25.422,-57.673,3
3098,0.435,0.1,0.938,0.549,23.01,-2.625,5.4,-24.472,-17.836,3
3177,0.393,-0.92,0.052,-2.991,1.831,23.315,-87.16,-22.967,-59.189,3
3204,0.369,0.107,0.891,-3.784,22.339,-3.357,5.361,-21.995,-18.188,3
3282,0.345,-0.897,0.06,-6.409,8.24,21.667,-87.556,-20.786,-60.864,3
3324,0.343,0.096,0.933,-2.319,23.804,-7.202,5.235,-19.852,-18.858,3
3373,0.33,-0.95,0.036,-1.648,4.944,22.827,-87.742,-18.589,-62.65,3
3398,0.318,0.077,0.967,0.244,21.729,-6.714,5.273,-17.71,-19.6,3
3475,0.29,-0.968,0.026,-1.099,4.028,22.156,-87.88,-16.375,-64.204,3
3503,0.263,0.071,0.98,1.221,20.508,-4.883,5.273,-15.54,-20.209,3
3583,0.256,-0.972,0.024,-1.404,1.099,21.179,-88.011,-14.288,-65.583,3
3609,0.24,0.07,1.001,-0.183,19.836,-1.892,5.268,-13.486,-20.61,3
3699,0.214,0.081,0.999,0.305,18.677,1.221,5.18,-11.514,-20.643,3
3776,0.171,-0.941,0.039,-0.732,-1.465,21.973,-88.292,-10.173,-67.181,3
3803,0.177,0.104,1.008,1.343,24.414,0.183,5.191,-9.305,-20.555,3
3866,0.15,-0.989,0.038,-0.427,-0.427,22.827,-88.396,-7.916,-67.835,3
3908,0.131,0.112,0.969,0.366,21.729,-1.892,5.328,-6.905,-20.61,3
3972,0.115,-0.979,0.029,-2.563,2.136,16.357,-88.522,-5.993,-68.736,3
4016,0.094,0.098,1.012,-2.502,15.015,-3.601,5.251,-5.224,-20.951,3
4079,0.089,-0.986,0.025,-2.686,2.258,17.639,-88.797,-4.34,-69.714,3
4103,0.064,0.077,1.036,-0.671,20.386,-3.662,5.103,-3.466,-21.363,3
4209,0.029,0.083,1.019,0.61,23.315,-5.249,5.032,-1.258,-21.802,3
4270,-0.111,-0.999,0.005,-2.686,2.869,21.912,-89.247,0.275,-71.603,3
4344,-0.019,0.054,0.981,0.244,16.663,-1.831,5.026,0.873,-22.236,3
4360,-0.031,-0.981,0,-0.854,-0.061,14.771,-89.385,2.01,-72.367,3
4419,-0.039,0.05,1.043,2.136,16.296,1.221,4.966,2.39,-22.44,3
4467,-0.063,-1,0.005,0.793,-4.517,18.25,-89.368,3.73,-72.702,3
4524,-0.066,0.079,1.059,0.916,17.395,4.395,5.043,4.175,-22.165,3
4571,-0.112,-1.004,0.019,0.244,-6.348,24.231,-89.346,5.817,-72.658,3
4644,-0.096,0.119,0.997,0.488,25.513,1.953,5.213,6.647,-21.714,3
4734,-0.139,0.1,0.999,-0.732,24.048,0.366,5.378,9.218,-21.566,3
4766,-0.198,-0.992,0.021,-1.404,-1.77,26.978,-89.385,10.937,-72.905,3
4855,-0.205,0.097,0.952,-0.732,26.184,-1.099,5.433,11.876,-21.495,3
4858,-0.226,-0.977,0.011,-0.244,-0.488,27.1,-89.473,13.546,-73.202,3
4917,-0.252,0.103,0.968,2.014,28.259,-1.892,5.603,14.54,-21.533,3
4962,-0.287,-0.96,0.01,0,0.916,29.785,-89.434,16.364,-73.581,3
5019,-0.298,0.109,0.945,-0.366,28.503,-3.357,5.773,17.512,-21.649,3
5066,-0.336,-0.949,0.024,-2.502,3.113,29.114,-89.626,19.325,-74.081,3
5123,-0.345,0.102,0.921,0.61,30.762,-5.859,5.735,20.528,-21.973,3
5228,-0.405,0.07,0.919,1.343,32.715,-4.517,5.751,23.522,-22.33,3
5261,-0.43,-0.897,-0.008,-0.854,1.77,30.64,-90.077,25.313,-75.278,3
5352,-0.456,0.057,0.855,0.671,30.457,-1.343,5.724,26.697,-22.5,3
5366,-0.471,-0.875,-0.018,-1.343,-1.038,28.198,-90.291,28.29,-75.547,3
5426,-0.502,0.087,0.85,-1.282,30.945,1.526,5.746,29.564,-22.286,3
5458,-0.5,-0.847,0.002,-2.686,-2.808,28.931,-90.45,31.135,-75.443,3
5529,-0.543,0.102,0.821,0.61,34.241,-1.404,5.922,32.646,-21.956,3
5546,-0.539,-0.825,0.003,-0.916,0.488,32.593,-90.61,34.244,-75.498,3
5648,-0.592,0.09,0.745,1.892,34.851,-4.517,6.081,36.068,-21.989,3
5653,-0.582,-0.784,-0.012,-0.549,3.296,31.738,-90.851,37.458,-75.916,3
5740,-0.613,0.066,0.768,0.305,29.297,-4.517,6.021,39.155,-22.231,3
5747,-0.63,-0.761,-0.023,-1.282,2.625,31.494,-91.263,40.523,-76.371,3
5828,-0.662,0.068,0.75,0.183,33.203,-3.479,5.988,42.341,-22.231,3
5845,-0.69,-0.727,-0.022,-0.916,1.587,34.18,-91.648,43.704,-76.63,3
5936,-0.717,0.05,0.652,0.549,32.959,-2.93,6.103,45.95,-22.066,3
5951,-0.732,-0.666,-0.024,-1.953,0.793,33.264,-92.016,47.098,-76.783,3
6046,-0.747,-0.613,-0.021,-2.563,0.122,32.654,-92.422,50.394,-76.794,3
6053,-0.751,0.059,0.623,-0.732,35.4,-2.075,6.191,49.334,-21.764,3
6144,-0.792,0.064,0.547,0.366,35.828,-3.54,6.367,52.872,-21.319,3
6150,-0.792,-0.599,-0.029,-1.099,1.282,33.447,-93.235,53.608,-77.146,3
6233,-0.82,0.047,0.513,1.526,32.776,-3.418,6.52,56.25,-21.044,3
6238,-0.83,-0.535,-0.041,-0.61,1.221,32.349,-93.801,56.81,-77.366,3
6341,-0.84,0.053,0.462,0.122,30.579,-2.441,6.696,59.628,-20.583,3
6345,-0.852,-0.502,-0.042,-2.075,0.61,31.616,-94.488,59.958,-77.52,3
6443,-0.865,0.044,0.415,-1.038,37.598,-2.869,6.85,63.023,-19.94,3
6450,-0.88,-0.45,-0.046,-2.808,0.488,34.302,-95.416,63.215,-77.662,3
6537,-0.904,-0.396,-0.043,-5.371,-0.122,33.142,-96.757,66.577,-77.893,3
6550,-0.898,0.026,0.358,-2.014,34.973,-1.648,6.943,66.698,-19.138,3
6642,-0.904,-0.353,-0.039,-1.587,0.549,29.175,-97.949,69.659,-78.047,3
6669,-0.92,0.037,0.278,0.916,28.503,-2.258,7.482,70.137,-18.001,3
6744,-0.927,0.04,0.258,1.038,26.001,-2.991,8.102,72.999,-16.913,3
6746,-0.939,-0.302,-0.048,-1.038,1.343,26.978,-99.531,72.631,-78.673,3
6848,-0.935,0.02,0.208,0.488,27.832,-3.235,8.416,75.976,-16.062,3
6941,-1.004,-0.232,-0.076,-10.376,16.235,35.217,-107.265,78.069,-83.694,3
6969,-0.944,0.025,0.167,0.488,33.569,-2.93,9.146,79.08,-14.601,3
7031,-0.969,-0.131,-0.065,-1.221,0.488,30.945,-114.543,80.936,-89.308,3
7044,-0.948,0.019,0.09,0.793,34.485,-2.502,11.019,82.562,-11.997,3
7137,-0.976,-0.107,-0.067,-8.606,4.333,12.146,-124.508,83.21,-97.158,3
7164,-0.948,0.021,0.034,-2.686,34.18,-2.38,16.205,85.952,-5.801,3
7242,-0.997,-0.072,-0.075,-9.216,-4.639,21.851,-136.522,84.644,-106.54,3
7253,-0.965,-0.005,-0.033,-1.221,30.762,-3.845,50.916,88.923,29.894,3
7332,-1.003,-0.039,-0.042,-10.315,-15.869,24.475,-151.293,85.941,-117.988,3
7358,-0.954,0.012,-0.048,-0.061,25.696,-2.625,163.185,87.88,143.35,3
7437,-0.979,0.022,-0.043,-19.409,-11.353,19.958,172.408,87.325,-151.046,3
7464,-0.936,0.003,-0.096,0.549,31.799,-3.052,175.77,85.095,156.923,3
7525,-0.978,0.058,-0.028,-2.625,0.488,4.7,131.611,87.347,171.535,3
7571,-1.013,0.002,-0.334,0.244,19.531,-0.366,179.698,80.728,161.812,3
7633,-0.989,0.08,-0.025,10.01,13.428,-8.179,136.599,86.891,178.621,3
7659,-0.93,-0.01,-0.352,0.671,-40.649,0.671,-179.209,80.541,163.301,3
7723,-0.999,-0.01,-0.07,15.991,33.691,-63.049,-166.976,85.161,-123.915,3
7764,-0.889,-0.012,-0.119,2.502,-69.092,5.981,-179.236,86.089,164.169,3
7827,-0.933,-0.127,-0.093,4.578,-1.282,-21.729,-134.747,82.963,-90.599,3
7884,-0.994,-0.005,0.264,0.916,-15.869,2.441,14.991,87.847,-0.615,3
7932,-0.973,-0.165,-0.094,-2.502,-1.831,-11.047,-125.266,81.475,-80.063,3
7959,-0.989,0.037,-0.012,-1.526,-13.672,2.075,15.018,86.814,0.417,3
8022,-0.948,-0.174,-0.055,3.418,0.854,-22.522,-118.971,79.975,-73.059,3
8063,-0.893,0.077,0.158,0.427,-17.029,-2.93,11.277,84.359,-3.06,3
8125,-0.934,-0.19,-0.075,5.615,3.967,-20.874,-115.95,78.217,-69.994,3
8186,-0.958,0,0.162,0.671,-22.644,-2.991,6.707,82.15,-7.559,3
8216,-0.965,-0.211,-0.114,4.7,0.854,-29.053,-112.863,75.784,-66.967,3
8288,-0.924,0.012,0.138,-2.747,-33.386,2.625,4.697,79.464,-9.509,3
8321,-0.932,-0.274,-0.092,0,-0.732,-31.25,-109.144,72.872,-63.155,3
8364,-0.94,0.022,0.282,-1.892,-20.752,1.221,4.642,76.042,-9.119,3
8412,-0.923,-0.316,-0.085,1.526,-0.488,-24.536,-106.716,70.411,-60.848,3
8470,-0.93,0.036,0.281,0.366,-25.146,1.404,4.779,73.57,-8.86,3
8516,-0.9,-0.37,-0.093,2.258,0.366,-28.076,-104.705,67.896,-59.343,3
8574,-0.905,0.023,0.295,-0.183,-30.701,2.502,4.785,70.763,-8.915,3
8622,-0.881,-0.414,-0.091,3.052,-0.427,-33.63,-102.777,64.869,-58.024,3
8678,-0.894,0.028,0.36,0.671,-36.011,2.869,4.993,67.231,-8.871,3
8711,-0.866,-0.453,-0.099,3.723,0.366,-35.828,-101.058,61.419,-57.156,3
8784,-0.862,0.041,0.51,-0.793,-35.645,3.235,4.922,63.281,-9.108,3
8816,-0.861,-0.492,-0.083,2.869,0.122,-28.87,-99.822,58.365,-56.832,3
8874,-0.824,0.051,0.508,-0.366,-38.574,2.441,5.021,60.397,-9.245,3
8921,-0.844,-0.567,-0.076,3.113,2.38,-25.635,-99.053,55.712,-57.025,3
8979,-0.799,0.051,0.517,3.174,-35.767,0.732,4.944,57.728,-9.811,3
9085,-0.744,0.039,0.601,0.854,-43.579,1.892,4.631,54.613,-10.596,3
9130,-0.763,-0.634,-0.083,1.77,0.671,-35.522,-97.762,49.861,-58.057,3
9188,-0.768,0.023,0.592,-1.404,-14.343,5.737,4.664,51.147,-10.816,3
9207,-0.725,-0.686,-0.096,-0.061,-4.211,-28.076,-96.943,47.142,-58.184,3
9279,-0.72,0.094,0.688,-2.563,-28.32,5.92,4.812,48.301,-10.767,3
9311,-0.702,-0.722,-0.063,0.305,-3.235,-26.672,-96.312,44.363,-58.228,3
9384,-0.699,0.092,0.65,-0.244,-21.667,1.282,4.999,45.698,-10.772,3
